,MIRM,BELFB,PDLB,FRAF,CBL,CRS,PSIX,ESQ,TPC,EMF,ECF,LINC,BE,AGX,APEI,FT,OPY,WDC,FTS,EZPW,TPR,CTBB,TBLD,NI,ADAMM,WLFC,UI,NUTX,UAMY,ASGI,TVTX,CDZIP,PAHC,TXNM,IDCC,AXTI,UNFI,DTM,GNT,VIAV,SENEB,FNRN,BLTE,CCLDO,TJX,SNEX,MO,SRBK,BTSG,GEV,CASY,ASTS,MRBK,WMT,AMLX,BK,SENEA,VISN,PLTR,GL,VTR,RTX,RKLB,SATS,GILD,DCO,RBC,ATRO,ETON
0,0.00417364467746,-0.001885655411169,-0.0012492479749428,0.0190700426757162,-0.0195536973558983,0.0215143619595555,0.0463046350203793,-0.0108755500170699,-0.0058867048484501,-0.0299845649364087,-0.0039190041368307,0.0051151201295113,-0.0357890739167543,0.0291700724759269,-0.0031771244265476,0.0020426559044267,-0.0013369997196096,0.0089052844079789,-0.0107127352938684,0.0398603978249783,0.0007343795953649,0.0020181693725583,-0.0025957049899098,-0.0097416466555216,-0.0048022728088994,0.030033622861254,0.0043111837256919,0.2581702015608884,0.0,-0.008097194089485,-0.0272671379950501,-0.0497859868466094,-0.0167942767859173,-0.0052683304207006,0.003933226051988,-0.0544134461559325,-0.0293829875721949,-0.002576066358572,-0.009587916156909,0.0,0.0042194451140053,-0.0044494455061201,-0.0198681317569462,0.0016765069782086,0.0042926253081742,-0.0120316667026775,-0.0048958911031758,-0.0075963480346803,0.0171759328555534,-0.0128336323453302,-0.000735533760182,-0.0292703550626511,-0.0181408891134721,-0.0015027749917626,-0.029413857701085,-0.019984018138014,0.0058299225933751,-0.0060180241541818,-0.0009136802061545,0.0718914576873281,-0.0133460360959637,0.0081648998552063,0.0084626659504518,-0.0206780957630958,-0.0065157409307633,-0.0375320154153032,-0.0064152615169673,-0.0065809755519389,-0.0093604337072803
1,-0.0066861864370451,-0.0253706150252269,-0.0025031278279573,0.0011326281961736,-0.0127752077122801,0.0030913327999744,0.0,-0.0046974401745815,-0.0088955821996496,0.0044663651295143,0.0052218855471411,-0.0112880225406901,-0.008130118203598,-0.0192963165088517,-0.0039855960895052,0.0109289717135576,-0.0048285011436037,-0.0126037295624559,0.0133729205045675,-0.0179216090043126,-0.009096601327624,0.0,-0.0045587953616263,0.021970804095352,-0.0008318660026785,-0.0152064127405592,-0.0080751337102681,-0.0414260727628115,0.0,0.0080971940894849,-0.0263607234086257,0.0041752565577897,-0.0092807050764609,-0.0022265086146442,-0.0081946467545391,-0.0437043921913013,-0.0117838117593117,0.0077083106662018,0.0114942415639284,-0.0181932999431195,0.0,-0.0011154616427044,-0.1041844185859566,0.0050127225633724,-0.0026806886574573,-0.0054462188611143,0.0085522774655301,-0.0010899789968429,-0.0287927024969001,0.0353485736209577,-0.0108733810050479,0.0147422679191739,-0.0444518972994239,-0.0031802076600664,-0.0049875367663907,0.0084823935772358,-0.0104471981379085,-0.0040322722168598,-0.0263965181484277,0.0529345104323972,0.0131094042737356,-0.000892690229366,0.0028050483012747,0.0093224133622675,-0.0056616663562421,-0.0354931477786759,-0.0145765028976459,-0.0329498384396534,-0.0157981014050666
2,-0.0118095293284843,-0.0140010858469074,-0.0025094092032537,0.0561306981398647,0.0160606862050401,0.0206190950459493,-0.0275246462942194,0.0091505490097655,-0.0037299333470962,0.002670116327396,-0.0065315207054221,-0.0103734777920842,-0.0051151201295113,0.0155324749360075,-0.0040016211289029,0.0015516977543318,0.0077676922790941,-0.0267183042418254,0.0108336611151582,-0.0090827490337824,0.0002469743811223,-0.0020181693725584,0.0058576319473724,0.0091660827951013,-0.0031147716564592,0.012621634450967,-0.0104245693241907,-0.0106302738947823,0.0408220168719971,0.0,-0.0322334234790057,-0.0125786414121958,0.0131224766085304,0.0063877696909028,-0.0036519930472331,0.0102564901348485,0.0075148660760433,0.0044693619181709,-0.0038168238614092,-0.0098401682785187,0.0,0.0,0.0678579895893949,0.0049876289223102,-0.0050594887670449,0.0113258969378332,0.0048544065569729,0.0043525950207727,0.0019454776254046,0.0181642554551224,0.0007437713975952,0.042966108164434,0.0083383544744138,-0.0065597570140437,-0.0100503262204275,0.0144018104232742,0.0106233024377979,-0.0412429851587339,-0.0084826291388234,0.0276083315681016,0.0096618722646843,-0.000397243323919,-0.0056179870367593,0.038506694902419,-0.0115710502449411,0.0071615314109626,-0.0153273803682692,-0.0074720669003248,-0.0258079360643415
3,0.0101309340683961,0.0095915810832552,0.0526115567509603,0.0598897697533896,0.0222438556059319,-0.0170248073639473,0.0365337075286448,0.0347159691301469,-0.0075019371034515,-0.0044541297442401,-0.0078947605334399,0.0103734777920843,-0.0123840473159296,0.0200642574495366,0.0111643416449559,0.0030959375135925,0.0047910193889564,-0.0337905293624102,0.0109779089367009,0.0216614762707176,0.0029586511662752,-0.0020222506182077,-0.0012988365857459,0.0065477784191863,0.0109243821749495,-0.0067918015087297,0.0160653039042164,0.0635838407398857,0.0392206764734992,0.0106954620161906,-0.0138891817257698,-0.0008442975606651,0.019742532446668,0.0134751246930487,0.0100888637583134,-0.0595622874998191,-0.008592955140539,0.0069830527994933,0.0076190293554187,-0.0024753054659221,0.0,-0.001116589809219,-0.034399928402324,0.0148149821407315,0.0075261844185662,0.0305378867122612,0.01894778067961,-0.0010863212053204,0.0211546605276196,-0.0155701917162962,0.0032591665724854,-0.0236418531449975,0.0094451899991135,0.0045458537635296,-0.057158420923091,0.0186486716975193,0.0179776653036318,-0.0288327809476083,-0.0317334257811343,0.0264170785989202,0.0114260312856082,0.008404628883376,0.0,-0.0006870648619409,0.0090279414776761,0.0032733635734481,0.0084897766156853,0.0012492479749428,0.0416060374694081
4,0.0150065598031472,0.0084491989064112,0.0071258573973237,0.0245615120039326,0.0059401405158716,0.0136525404367645,0.0,-0.0008585895179081,0.0179110176565813,0.0133038014107158,0.0131233998285517,0.0112880225406901,-0.0327206417405094,-0.0045322608178633,0.0312281873665777,0.0046261346428811,0.0092507458431873,0.0150265783015498,0.0139390860409827,-0.0035778179907354,-0.0076609366528613,-0.007110137998451,0.0038909644611057,0.0118941641129313,0.0052448592647745,-0.0184085620271664,-0.0116926493489961,-0.0129778538593029,-0.1226022672720064,0.0118552347144357,0.0224728762297155,0.0042140684603269,-0.0189759763893037,0.0021826558526085,0.0130573222526359,0.0249567086375287,-0.0185089735164032,-0.0050737192070438,-0.0076190293554188,-0.0149815397913412,0.0,0.0,0.0309257229584766,0.021019409213792,0.0076823644404343,0.0120473991209882,0.0113396403037833,0.0075798965467903,0.0094697136010899,0.0117003686677265,0.009841392857995,0.0329442365230988,0.0011744082601509,0.0101948843073897,0.057158420923091,0.0153374034816488,-0.014812543819077,0.0999286730080334,0.0241324460404394,-0.0052580181112091,0.0,0.0,0.0112045885366256,0.0344512435083151,0.0028418661463876,0.0040287648635569,-0.002207749690128,0.0185533606217402,0.0186340616074451
5,0.0102902739348517,0.0346257828167095,-0.0011841599066628,-0.0215419798289433,0.0,0.0200734061614441,-0.013544211986474,0.0053549590174213,0.0334575473145097,0.0174677062393807,0.0103763249508839,0.0030565212584707,0.053276330444421,-0.0001622559833563,0.0015360605261925,0.0091884734616511,0.0179903662508492,0.0419130449869088,0.0023043898985899,0.0273990111414928,-0.021819132921072,0.0131646625562484,0.0103026786034184,0.0007162830867045,0.0102793921285722,0.0095500378886339,0.0057690776563993,-0.0324511942816644,0.0425595739265099,0.0128808847873692,-0.0189824744850499,0.0092088705125339,0.0420167073953394,-0.0109619123937335,0.0104660731905015,0.0277796204572126,-0.0222232215662274,0.0026987231186212,0.0038168238614092,0.0075188849803451,0.0,-0.0169018815562522,0.0705384801249407,0.0529719803105548,0.0044542468269734,0.027990201465989,0.0070222312073137,0.0139261493408187,0.0084468033746931,0.0783473391398481,-0.0005104500244053,-0.0046403749359873,-0.0141847566145649,-0.0176134533068163,-0.015267457310675,0.0048864747237832,0.0036800022170782,-0.0218046176074939,0.0314506136038491,0.1320240076446645,0.0099205521951808,-0.0017738948391769,0.024760591729466,0.0158105906299789,0.0011943196065606,0.0342524962859532,0.006527400896256,0.028392194781116,0.0091884173317751
6,-0.0165156360973565,0.0273899267825478,-0.0131188118704318,0.0096684672996147,-0.0096133609710905,-0.0013672775682256,0.0224728341776424,0.0029863318340048,-0.0050197282175314,0.0034573963397603,-0.0012913896170985,0.0111280520557841,-0.0195177821608907,-0.0068383173212019,0.0144764839790225,0.0015231680606825,0.0079784082840915,-0.0053058103095447,0.0015334192197334,0.0026120809472968,0.0148484666414667,-0.0040322739395896,-0.0070715687773787,0.0089112393129828,-0.0077318499787874,-0.0052716820576447,0.0254191409435187,0.0044876265631251,0.0,0.0069565758729951,-0.0518435967786604,0.0008330450152121,-0.080287624612671,0.0093254233497792,0.0073517873452716,0.0303564331841776,-0.0090293984580556,0.0171320547163335,-0.0057307660886604,-0.0025000585226328,0.0310905740948702,0.0,0.0072708131293054,0.0090633315962338,0.0082201706011995,0.0058768938303251,0.0011657983342805,-0.0042644296672477,0.0074488170679172,-0.0112242902486167,0.0073773158261434,-0.004662008442114,0.0634219518650575,0.0131138775861674,-0.0365576227233528,0.0088397009924238,0.0218002085416394,0.0602708091848208,-0.0023131741792525,0.0368013677922801,0.0011470684001646,-0.0035573362714222,0.0027137032379516,0.0372076221608759,0.0007456730586874,0.0,-0.0041971447055281,-0.0198503859900035,-0.0215724646477048
7,0.0193780259087036,0.0013170051213314,-0.0120774879521826,0.0069432581761743,-0.0073867572924544,0.0166515528921072,-0.0689929169000151,0.0095392684381437,-0.0014387305037768,0.0,-0.0051811584960087,0.003013632303455,-0.0093799697719714,0.0,0.0349347540266367,-0.0030488265222541,-0.0012825717892377,-0.0015827663345396,0.0040774519818785,-0.0381083162164805,-0.0161169734058979,-0.0070958414057493,-0.0058232377013993,-0.0028429514987336,0.0025838645959801,-0.0012205664134279,-0.0086795531643905,-0.025700522510775,0.0,0.00115471538173,-0.0110702135277854,-0.0167928510881689,-0.009600203867871,0.0021496925754407,0.0025053716764752,-0.037229305714682,0.0045248904489716,0.006523589530848,0.0095329715826701,-0.0025062646547841,0.0,0.014664719162629,0.0193974339528557,0.0,0.0118937387023314,0.0140497759340199,0.0143420372518726,0.0,-0.0349256727410304,0.0144659088971988,0.0067568903103995,0.0230956919020711,0.0077908103877813,0.0056629261191743,-0.054658426074659,-0.0061023393461341,-0.0084214931500218,-0.1470999864454672,0.0055426901251906,-0.039709421944721,-0.0057490111308463,0.0068071418210184,-0.0108992798368718,0.0087775071891274,-0.0273535885205362,0.0,-0.0026168367161323,-0.0208723504874707,-0.0284379838841076
8,-0.0012257687886928,-0.0483706329272195,-0.0097680786209628,0.0016461429798611,0.015632382880549,0.0271510738639576,0.0235305871802018,0.0356437734104056,0.2469050696060425,0.0128589979692076,0.0051811584960088,0.0139443883166728,0.1043128626408552,0.0125012945635907,0.0428943806232611,0.003048826522254,0.0461467591305567,0.0272743714398551,-0.0066343541659286,0.0258596639182074,0.0166166344952407,-0.0091979601183683,0.0019444954446315,-0.0057103385771154,0.0077120739040426,-0.0016297694765176,0.0043492291862908,0.0136883772435141,-0.0425595739265099,-0.0069485196869752,-0.0244142898868694,0.0176253045910051,0.0230443183261292,0.0,0.0079753758897435,0.023851192569933,0.0300189812742368,-0.0085515131746645,0.0037883294640246,0.0050063231774169,0.0037345353414501,0.001119206808628,0.0450236813739551,0.0183272107527567,-0.0006223523079386,0.0082801098727347,-0.0036814294587708,0.0042644296672477,0.0161985512499464,0.0315907204520591,0.0070555411768293,0.0181000240686876,0.0088300403130638,-0.0008307708874013,-0.0112995445993746,0.002445433992455,-0.000863321091639,0.0226913619968056,0.0366308818790401,0.0027762023168027,0.0146522090025057,-0.002953924772377,0.0323478026781758,-0.0012492479749428,0.0022956846938492,-0.0020372377177986,0.0031883561233105,0.0281363559654779,0.1005412797230262
9,0.0246328071678019,0.0230444099703372,-0.0061537716732489,-0.0016461429798611,0.0149426773015999,-0.0032193550455906,-0.0235305871802017,-0.0432678614541679,-0.0033804367574304,0.0076369210601898,0.0038686108084825,0.038802207592739,0.0361317104834262,0.001773182707169,-0.0356163002333562,0.0,0.0116960532929176,-0.0212441765219847,0.0129722360015454,-0.0159718880473971,0.0229554425684948,0.007161412907459,-0.0006476270404676,0.0080972149399314,-0.0023500385793865,-0.0154085191735692,0.0060756506194494,-0.0559151309871688,-0.0444517861299818,0.0075254129330314,0.0373177264801642,0.038596465446685,0.2762262918958864,0.0201697408439602,0.0022811386026126,0.0200006476312757,0.0141383662338692,-0.0130454410674713,-0.0018923181040062,0.0012476893014073,0.0,0.0,0.0292534568600122,0.0113045105210651,-0.0155838188944993,0.028520283247774,0.0100919265074458,-0.0258633821158243,0.0307143666399161,0.0380716854483084,0.0100731545534242,0.0438666408082659,0.0131006228106566,0.0013288246548689,0.076540069992592,0.0001745346327035,0.0055124980080215,0.0438942263826105,0.0136716336014024,0.0304235214516052,0.0151124042931004,0.010105576260085,0.0079260577833545,0.0,0.0079171184803238,0.0038857093737616,0.0071570983207755,0.0048134824741754,0.0200867393267664
